sepal_length,sepal_width,petal_length,petal_width,species,sepal_area
5.1,3.5,0.06779661016949151,0.2,Setosa,17.849999999999998
4.9,3.0,0.06779661016949151,0.2,Setosa,14.700000000000001
4.7,3.2,0.05084745762711865,0.2,Setosa,15.040000000000001
4.6,3.1,0.0847457627118644,0.2,Setosa,14.26
5.0,3.6,0.06779661016949151,0.2,Setosa,18.0
5.4,3.9,0.11864406779661016,0.4,Setosa,21.060000000000002
4.6,3.4,0.06779661016949151,0.3,Setosa,15.639999999999999
5.0,3.4,0.0847457627118644,0.2,Setosa,17.0
4.4,2.9,0.06779661016949151,0.2,Setosa,12.76
4.9,3.1,0.0847457627118644,0.1,Setosa,15.190000000000001
5.4,3.7,0.0847457627118644,0.2,Setosa,19.980000000000004
4.8,3.4,0.1016949152542373,0.2,Setosa,16.32
4.8,3.0,0.06779661016949151,0.1,Setosa,14.399999999999999
4.3,3.0,0.016949152542372895,0.1,Setosa,12.899999999999999
5.8,4.0,0.033898305084745756,0.2,Setosa,23.2
5.7,4.4,0.0847457627118644,0.4,Setosa,25.080000000000002
5.4,3.9,0.05084745762711865,0.4,Setosa,21.060000000000002
5.1,3.5,0.06779661016949151,0.3,Setosa,17.849999999999998
5.7,3.8,0.11864406779661016,0.3,Setosa,21.66
5.1,3.8,0.0847457627118644,0.3,Setosa,19.38
5.4,3.4,0.11864406779661016,0.2,Setosa,18.36
5.1,3.7,0.0847457627118644,0.4,Setosa,18.87
4.6,3.6,0.0,0.2,Setosa,16.56
5.1,3.3,0.11864406779661016,0.5,Setosa,16.83
4.8,3.4,0.15254237288135591,0.2,Setosa,16.32
5.0,3.0,0.1016949152542373,0.2,Setosa,15.0
5.0,3.4,0.1016949152542373,0.4,Setosa,17.0
5.2,3.5,0.0847457627118644,0.2,Setosa,18.2
5.2,3.4,0.06779661016949151,0.2,Setosa,17.68
4.7,3.2,0.1016949152542373,0.2,Setosa,15.040000000000001
4.8,3.1,0.1016949152542373,0.2,Setosa,14.879999999999999
5.4,3.4,0.0847457627118644,0.4,Setosa,18.36
5.2,4.1,0.0847457627118644,0.1,Setosa,21.32
5.5,4.2,0.06779661016949151,0.2,Setosa,23.1
4.9,3.1,0.0847457627118644,0.1,Setosa,15.190000000000001
5.0,3.2,0.033898305084745756,0.2,Setosa,16.0
5.5,3.5,0.05084745762711865,0.2,Setosa,19.25
4.9,3.1,0.0847457627118644,0.1,Setosa,15.190000000000001
4.4,3.0,0.05084745762711865,0.2,Setosa,13.200000000000001
5.1,3.4,0.0847457627118644,0.2,Setosa,17.34
5.0,3.5,0.05084745762711865,0.3,Setosa,17.5
4.5,2.3,0.05084745762711865,0.3,Setosa,10.35
4.4,3.2,0.05084745762711865,0.2,Setosa,14.080000000000002
5.0,3.5,0.1016949152542373,0.6,Setosa,17.5
